metric	pr	tas	uas	vas
RMSE	11.94	1.06	0.61	0.66
MAE	6.30	0.87	0.47	0.51
CORR	0.30	0.97	0.86	0.88
CRPS	5.90	0.74	0.38	0.41
STD_DEV	1.09	0.30	0.23	0.27
SSR	0.29	0.31	0.41	0.45
