metric	prcp	t2m	u10m	v10m	q2m	mswdnb
RMSE	8.69065	0.63012	0.50314	0.58082	0.00072	46.06030
MAE	4.55949	0.50073	0.37407	0.43829	0.00058	35.43819
CRPS	4.55949	0.50073	0.37407	0.43829	0.00058	35.43819
STD_DEV	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
