metric	prcp	t2m	u10m	v10m
RMSE	8.31	0.55	0.44	0.50
MAE	4.25	0.44	0.32	0.37
CORR	0.52	0.99	0.94	0.94
CRPS	3.84	0.34	0.25	0.29
STD_DEV	1.04	0.24	0.20	0.27
