year_bin	prcp	t2m	u10m	v10m
2015-2024	6.42	1.41	0.72	0.81
2025-2034	7.07	2.02	1.04	1.21
2035-2044	7.60	2.03	1.02	1.19
2045-2054	7.08	1.99	1.02	1.20
2055-2064	7.46	1.98	1.01	1.17
2065-2074	7.86	2.00	1.06	1.20
2075-2080	8.89	1.89	1.05	1.22
