metric	prcp	t2m	u10m	v10m
RMSE	12.64	1.03	0.62	0.67
MAE	7.08	0.84	0.47	0.50
CORR	0.33	0.98	0.87	0.86
CRPS	7.08	0.84	0.47	0.50
STD_DEV	0.00	0.00	0.00	0.00
