metric	prcp	t2m	u10m	v10m
RMSE	12.10	1.00	0.57	0.64
MAE	6.42	0.82	0.45	0.49
CORR	0.38	0.98	0.88	0.89
CRPS	6.42	0.82	0.45	0.49
STD_DEV	0.00	0.00	0.00	0.00
