metric	prcp	t2m	u10m	v10m
RMSE	16.95	2.40	1.41	1.68
MAE	9.08	2.08	1.05	1.26
CORR	0.15	0.91	0.43	0.43
CRPS	9.08	2.08	1.05	1.26
STD_DEV	0.00	0.00	0.00	0.00
