month	prcp	t2m	u10m	v10m
1	2.80	0.67	0.53	0.68
2	2.10	0.68	0.54	0.67
3	2.72	0.69	0.52	0.65
4	5.18	0.71	0.54	0.69
5	9.82	0.77	0.62	0.72
6	14.36	0.60	0.56	0.67
7	16.19	0.64	0.62	0.71
8	19.08	0.70	0.67	0.74
9	15.35	0.62	0.62	0.73
10	10.89	0.60	0.56	0.70
11	2.38	0.61	0.50	0.62
12	2.50	0.74	0.55	0.69
