metric	prcp	t2m	u10m	v10m
RMSE	3.467	2.290	0.869	1.361
MAE	3.702	1.658	0.820	1.285
CRPS	3.702	1.658	0.820	1.285
STD_DEV	0.000	0.000	0.000	0.000
