month	prcp	t2m	u10m	v10m
1	2.76	0.86	0.44	0.48
2	3.12	0.86	0.44	0.48
3	3.90	0.90	0.46	0.49
4	4.15	0.89	0.46	0.48
5	8.29	0.84	0.47	0.48
6	12.09	0.89	0.53	0.55
7	10.98	0.82	0.48	0.51
8	13.62	0.83	0.51	0.54
9	12.16	0.78	0.48	0.51
10	7.82	0.78	0.48	0.54
11	3.19	0.75	0.44	0.47
12	2.64	0.83	0.44	0.46
