year_bin	prcp	t2m	u10m	v10m
2015-2024	0.010	-0.011	-0.018	-0.031
2025-2034	0.007	-0.012	-0.019	-0.031
2035-2044	0.020	-0.015	-0.020	-0.034
2045-2054	0.016	-0.016	-0.020	-0.032
2055-2064	0.014	-0.015	-0.020	-0.031
2065-2074	0.008	-0.015	-0.018	-0.031
2075-2080	0.013	-0.013	-0.017	-0.030
