metric	prcp	t2m	u10m	v10m
RMSE	0.033	-0.022	-0.016	-0.039
MAE	0.039	-0.015	-0.011	-0.030
CORR	-0.004	0.002	0.012	0.013
CRPS	-0.477	-0.156	-0.100	-0.128
STD_DEV	1.375	0.356	0.263	0.298
