month	prcp	t2m	u10m	v10m
1	2.02	0.29	0.48	0.55
2	1.85	0.28	0.49	0.56
3	1.79	0.31	0.49	0.59
4	2.52	0.30	0.46	0.63
5	3.57	0.34	0.58	0.65
6	5.88	0.29	0.54	0.73
7	5.34	0.27	0.57	0.63
8	6.76	0.33	0.76	0.79
9	6.83	0.27	0.63	0.75
10	6.58	0.29	0.59	0.73
11	1.38	0.24	0.43	0.52
12	2.23	0.32	0.48	0.65
