metric	prcp	t2m	u10m	v10m	q2m	mswdnb
RMSE	0.02124	-0.02253	-0.00325	-0.00729	-0.00001	-0.09716
MAE	0.01352	-0.01418	-0.00440	-0.00917	-0.00001	-0.08632
CRPS	-0.32178	-0.06883	-0.06932	-0.09194	-0.00006	-3.96236
STD_DEV	0.89918	0.13560	0.14931	0.19644	0.00012	8.71226
