metric	prcp	t2m	u10m	v10m
RMSE	4.04	0.28	0.23	0.27
MAE	1.07	0.11	0.08	0.10
CRPS	1.07	0.11	0.08	0.10
STD_DEV	0.00	0.00	0.00	0.00
