metric	prcp	t2m	u10m	v10m
RMSE	0.007	-0.082	-0.029	-0.073
MAE	0.026	-0.073	-0.017	-0.053
CORR	-0.016	0.003	0.012	0.017
CRPS	-0.391	-0.201	-0.102	-0.148
STD_DEV	1.106	0.300	0.232	0.272
