year_bin	prcp	t2m	u10m	v10m
2015-2024	0.30	0.98	0.68	0.69
2025-2034	0.20	0.97	0.45	0.46
2035-2044	0.21	0.97	0.45	0.46
2045-2054	0.19	0.97	0.45	0.44
2055-2064	0.19	0.97	0.45	0.46
2065-2074	0.19	0.97	0.45	0.45
2075-2080	0.18	0.97	0.45	0.45
