metric	prcp	t2m	u10m	v10m
RMSE	8.58	0.53	0.45	0.52
MAE	4.45	0.42	0.33	0.39
CORR	0.48	0.99	0.94	0.94
CRPS	4.05	0.34	0.26	0.30
STD_DEV	1.02	0.23	0.21	0.27
